number,chromadb_id,name,product_id,category,manufacturer,material,product_type,thermal_conductivity,fire_classification,density,is_active,extraction_date
87,rockwool_product_116,ROCKWOOL FRONTROCK SUPER,116,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
88,rockwool_product_118,ROCKWOOL Kivitelezési útmutató - Homlokzati hőszig,118,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
89,rockwool_product_120,ROCKWOOL Klimarock,120,Gépészeti szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
90,rockwool_product_121,ROCKWOOL Lapostetős hőszigetelő rendszerek - Terve,121,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
91,rockwool_product_125,ROCKWOOL ProRox xC1rlista és termékkatalógus,125,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
92,rockwool_product_126,ROCKWOOL Rockfall lejtésképző és lejtéskorrekcix,126,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
93,rockwool_product_128,ROCKWOOL ROCKWOOL 800,128,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
94,rockwool_product_129,ROCKWOOL ROCKWOOL bemutató füzet,129,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
95,rockwool_product_131,ROCKWOOL ROCKWOOL tűzvédelem,131,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
96,rockwool_product_132,ROCKWOOL ROCKWOOL xC1rlista 2025 Töltse le aktuális á,132,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
97,rockwool_product_134,ROCKWOOL Roofrock 50,134,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
98,rockwool_product_135,ROCKWOOL Roofrock 60,135,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
99,rockwool_product_136,ROCKWOOL Steelrock 035 Plus,136,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
100,rockwool_product_138,ROCKWOOL Steprock HD,138,Padló és födém szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
101,rockwool_product_139,ROCKWOOL Steprock ND,139,Padló és födém szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
102,rockwool_product_140,ROCKWOOL Stroprock G,140,Padló és födém szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
103,rockwool_product_142,ROCKWOOL Airrock HD FB1,142,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
104,rockwool_product_143,ROCKWOOL Airrock HD,143,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
105,rockwool_product_146,ROCKWOOL Airrock ND,146,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
106,rockwool_product_147,ROCKWOOL Airrock XD,147,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
107,rockwool_product_149,ROCKWOOL Conlit Ductrock - Conlit Plus,149,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
108,rockwool_product_150,ROCKWOOL Conlit Steel Protect Board ALU,150,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
109,rockwool_product_151,ROCKWOOL Conlit Steel Protect Board,151,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
110,rockwool_product_153,ROCKWOOL Deltarock,153,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
